INPUT-#Scan#	INPUT-SpectrumID	INPUT-Compound_Name	INPUT-InChIKey-Planar	Tag_Status1	Action1	Add_InCHIKey-Planar	Cannot_Add_InChIKey-Planar	Tag_Status2	Action2	Add_Tag1	Add_Tag2	Add_Tag3	Contribute-NCBITaxonomy1	Contribute-NCBITaxonomy2	Contribute-NCBITaxonomy3	Contribute-UBERONTag1	Contribute-UBERONTag2	Contribute-UBERONTag3	Contribute-LifestyleTag1	Contribute-LifestyleTag2	Contribute-LifestyleTag3	Current_Tags	Current_NCBITaxonomy	Current_UBERON	Current_Lifestyle
355091	CCMSLIB00000841679	MassbankEU:SM833703 Abietic acid|(1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid	RSWGJHLUYNHPMX	Tags Present	Check Current Tags and Add if Incomplete																	environmental|plant|naturalproduct_plant|naturalproduct			plant-based chemical exposure
355497	CCMSLIB00003136202	Spectral Match to Val-Trp from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
355892	CCMSLIB00003136025	Spectral Match to Benzyldodecyldimethylammonium from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
356016	CCMSLIB00003136025	Spectral Match to Benzyldodecyldimethylammonium from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
360615	CCMSLIB00000427263	HMDB:HMDB01067-1413 N-Acetylaspartylglutamic acid	OPVPGKGADVGKTG	Tags Present	Check Current Tags and Add if Incomplete																	food|human	9606|Homo sapiens		food consumption
362126	CCMSLIB00003135917	Spectral Match to Stearidonic acid ethyl ester from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
362206	CCMSLIB00003134675	Spectral Match to 15-OxoEDE from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
362681	CCMSLIB00003135917	Spectral Match to Stearidonic acid ethyl ester from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
362717	CCMSLIB00005727122	Massbank:AC000645 Zeranol|zearanol|(7R,11S)-7,15,17-trihydroxy-11-methyl-12-oxabicyclo[12.4.0]octadeca-1(14),15,17-trien-13-one	DWTTZBARDOXEAM	Tags Present	Check Current Tags and Add if Incomplete																	drug|naturalproduct			drug or medication use
363313	CCMSLIB00003134506	Spectral Match to 8S-Hydroxy-9E,11Z,14Z-eicosatrienoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
363525	CCMSLIB00003134506	Spectral Match to 8S-Hydroxy-9E,11Z,14Z-eicosatrienoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
365785	CCMSLIB00003136399	Spectral Match to Glutathione, oxidized from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
366886	CCMSLIB00003139970	Spectral Match to cis-5,8,11-Eicosatrienoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
366967	CCMSLIB00003138545	Spectral Match to 15-HEDE from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
368482	CCMSLIB00003135775	Spectral Match to 14,15-EE-(8Z)-E from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
368500	CCMSLIB00003139970	Spectral Match to cis-5,8,11-Eicosatrienoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
368529	CCMSLIB00003139412	Spectral Match to 9Z,11E,13E-Octadecatrienoic acid ethyl ester from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
368608	CCMSLIB00003139981	Spectral Match to 15-HEDE from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
369126	CCMSLIB00000211978	ReSpect:PM018197 Glucosidetathione(reduced form)|GSH	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
370133	CCMSLIB00005720267	Fructoselysine	BFSYFTQDGRDJNV	Tags Missing	Add Tags																				
370441	CCMSLIB00000850623	NCGC00385000-01_C15H18O8_beta-D-Glucopyranose, 1-O-[(2E)-3-(2-hydroxyphenyl)-1-oxo-2-propen-1-yl]-	KDNJTHIKZATBIB	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
373114	CCMSLIB00003135788	Spectral Match to Pentapropylene glycol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
378759	CCMSLIB00003134657	Spectral Match to Sulfadimethoxine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
379192	CCMSLIB00005747606	Massbank:PR311057 Glutamyltyrosine	VVLXCWVSSLFQDS	Tags Present	Check Current Tags and Add if Incomplete																	human|naturalproduct	9606|Homo sapiens		
379201	CCMSLIB00005747606	Massbank:PR311057 Glutamyltyrosine	VVLXCWVSSLFQDS	Tags Present	Check Current Tags and Add if Incomplete																	human|naturalproduct	9606|Homo sapiens		
380229	CCMSLIB00003139700	Spectral Match to Avobenzone from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
382424	CCMSLIB00005722082	NCGC00385642-01!1,4-dihydroxyheptadec-16-en-2-yl acetate [IIN-based: Match]	LUIGTZGBXWZJAX	Tags Present	Check Current Tags and Add if Incomplete																	food|human	9606|Homo sapiens	blood	|food consumption
382457	CCMSLIB00005722082	NCGC00385642-01!1,4-dihydroxyheptadec-16-en-2-yl acetate [IIN-based: Match]	LUIGTZGBXWZJAX	Tags Present	Check Current Tags and Add if Incomplete																	food|human	9606|Homo sapiens	blood	|food consumption
384475	CCMSLIB00003134837	Spectral Match to Phe-Phe from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
385128	CCMSLIB00003134837	Spectral Match to Phe-Phe from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
38513	CCMSLIB00003138711	Spectral Match to Ile-Leu-Lys from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
385130	CCMSLIB00003134837	Spectral Match to Phe-Phe from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
385137	CCMSLIB00003134837	Spectral Match to Phe-Phe from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
385138	CCMSLIB00003134837	Spectral Match to Phe-Phe from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
385188	CCMSLIB00003136393	Spectral Match to Phe-Phe from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
38669	CCMSLIB00005463658	AZELATE	BDJRBEYXGGNYIS	Tags Present	Check Current Tags and Add if Incomplete																	environmental|personalcareproduct|naturalproduct		blood|cerebrospinal fluid|feces|milk|saliva|sweat|urine	personal care products|food consumption
389163	CCMSLIB00005435780	Ethylenediaminetetraacetic acid EDTA	KCXVZYZYPLLWCC	Tags Present	Check Current Tags and Add if Incomplete																	drug|synthetic		blood|urine	
389164	CCMSLIB00005435780	Ethylenediaminetetraacetic acid EDTA	KCXVZYZYPLLWCC	Tags Present	Check Current Tags and Add if Incomplete																	drug|synthetic		blood|urine	
389171	CCMSLIB00005435780	Ethylenediaminetetraacetic acid EDTA	KCXVZYZYPLLWCC	Tags Present	Check Current Tags and Add if Incomplete																	drug|synthetic		blood|urine	
389174	CCMSLIB00005435780	Ethylenediaminetetraacetic acid EDTA	KCXVZYZYPLLWCC	Tags Present	Check Current Tags and Add if Incomplete																	drug|synthetic		blood|urine	
389250	CCMSLIB00005435780	Ethylenediaminetetraacetic acid EDTA	KCXVZYZYPLLWCC	Tags Present	Check Current Tags and Add if Incomplete																	drug|synthetic		blood|urine	
390100	CCMSLIB00005435780	Ethylenediaminetetraacetic acid EDTA	KCXVZYZYPLLWCC	Tags Present	Check Current Tags and Add if Incomplete																	drug|synthetic		blood|urine	
390844	CCMSLIB00005435780	Ethylenediaminetetraacetic acid EDTA	KCXVZYZYPLLWCC	Tags Present	Check Current Tags and Add if Incomplete																	drug|synthetic		blood|urine	
394700	CCMSLIB00004699026	1,4a-dimethyl-9-oxo-7-propan-2-yl-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid	MSWJSDLNPCSSNW	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct_plant|naturalproduct_fungal|plant|naturalproduct			
394891	CCMSLIB00000849448	NCGC00385372-01_C20H28O4_1-Phenanthrenecarboxylic acid, 1,2,3,4,4a,9,10,10a-octahydro-9-hydroxy-7-(1-hydroxy-1-methylethyl)-1,4a-dimethyl-, (1R,4aS,10aR)-	ALGYTGOYQATWBA	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
395538	CCMSLIB00000849448	NCGC00385372-01_C20H28O4_1-Phenanthrenecarboxylic acid, 1,2,3,4,4a,9,10,10a-octahydro-9-hydroxy-7-(1-hydroxy-1-methylethyl)-1,4a-dimethyl-, (1R,4aS,10aR)-	ALGYTGOYQATWBA	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
39602	CCMSLIB00003135297	Spectral Match to L-Tryptophan from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
396178	CCMSLIB00005762804	Massbank:LU055005 Progesterone|(8S,9S,10R,13S,14S,17S)-17-acetyl-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one	RJKFOVLPORLFTN	Tags Present	Check Current Tags and Add if Incomplete																	drug|naturalproduct		blood|cerebrospinal fluid	drug or medication use
396641	CCMSLIB00003135516	Spectral Match to 9,10-Dihydroxy-12Z-octadecenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
39677	CCMSLIB00003139168	Spectral Match to Abrine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
39740	CCMSLIB00003135119	Spectral Match to L-Tryptophan from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
397946	CCMSLIB00005738777	Massbank:RP024902 Decanoyl-L-Carnitine|Decanoylcarnitine|3-decanoyloxy-4-(trimethylazaniumyl)butanoate	LZOSYCMHQXPBFU	Tags Present	Check Current Tags and Add if Incomplete																	human|food	9606|Homo sapiens	blood|feces|urine	|food consumption
399545	CCMSLIB00004699011	9-hydroxy-1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid	GPFVBJYXFRIOFB	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct|plant|naturalproduct_plant			
400935	CCMSLIB00000850186	NCGC00386059-01_C20H28O3_(5xi,9xi)-12-Oxoabieta-7,13-dien-18-oic acid	MRGKHDWUXCFJLK	Tags Present	Check Current Tags and Add if Incomplete																	plant|naturalproduct_plant|naturalproduct			
401397	CCMSLIB00004699011	9-hydroxy-1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid	GPFVBJYXFRIOFB	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct|plant|naturalproduct_plant			
402678	CCMSLIB00003137880	Spectral Match to Ile-Trp from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
403858	CCMSLIB00003134993	Spectral Match to Phytosphingosine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
403861	CCMSLIB00003139655	Spectral Match to Phytosphingosine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
40480	CCMSLIB00000218806	Massbank:KO003144 Homoarginine	QUOGESRFPZDMMT	Tags Present	Check Current Tags and Add if Incomplete																	drug|naturalproduct			drug or medication use
40516	CCMSLIB00000218562	Massbank:KO003025 Gly-Leu|Glycyl-L-leucine|Glycyl-leucine	DKEXFJVMVGETOO	Tags Present	Check Current Tags and Add if Incomplete																	human|food	9606|Homo sapiens	feces	|food consumption
40628	CCMSLIB00003139542	Spectral Match to Azelaic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
407234	CCMSLIB00005730783	Massbank:EQ293204 Imiprothrin|(2,5-dioxo-3-prop-2-ynylimidazolidin-1-yl)methyl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate	VPRAQYXPZIFIOH	Tags Missing	Add Tags																				
408071	CCMSLIB00004721168	ABIETIC ACID	RSWGJHLUYNHPMX	Tags Present	Check Current Tags and Add if Incomplete																	environmental|plant|naturalproduct_plant|naturalproduct			plant-based chemical exposure
415334	CCMSLIB00003139461	Spectral Match to Arg-Phe from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
418933	CCMSLIB00005435553	lithocholic acid	SMEROWZSTRWXGI	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|food|human|naturalproduct	9606|Homo sapiens	bile|blood|feces|urine	|food consumption
419194	CCMSLIB00005435553	lithocholic acid	SMEROWZSTRWXGI	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|food|human|naturalproduct	9606|Homo sapiens	bile|blood|feces|urine	|food consumption
419548	CCMSLIB00000851708	NCGC00169469-03_C20H34O3_1-Naphthalenecarboxylic acid, decahydro-5-(5-hydroxy-3-methylpentyl)-1,4a-dimethyl-6-methylene-, (1R,4aS,5R,8aS)-	NSRKLZRKJJQJLD	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
419654	CCMSLIB00005435553	lithocholic acid	SMEROWZSTRWXGI	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|food|human|naturalproduct	9606|Homo sapiens	bile|blood|feces|urine	|food consumption
419658	CCMSLIB00005435553	lithocholic acid	SMEROWZSTRWXGI	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|food|human|naturalproduct	9606|Homo sapiens	bile|blood|feces|urine	|food consumption
419662	CCMSLIB00005435553	lithocholic acid	SMEROWZSTRWXGI	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|food|human|naturalproduct	9606|Homo sapiens	bile|blood|feces|urine	|food consumption
41983	CCMSLIB00005464127	KYNURENATE	HCZHHEIFKROPDY	Tags Missing	Add Tags																				
42102	CCMSLIB00000578017	N-ACETYL-DL-GLUTAMIC ACID	RFMMMVDNIPUKGG	Tags Present	Check Current Tags and Add if Incomplete																	animal|plant|bacterial|food|human			food consumption
423092	CCMSLIB00003137130	Spectral Match to N-(-)-Jasmonoyl-(S)-leucine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
423421	CCMSLIB00003138141	Spectral Match to Linoleoyl ethanolamide from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
423654	CCMSLIB00003138698	Spectral Match to D-(+)-Cellobiose from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
42657	CCMSLIB00000578096	CITRATE	KRKNYBCHXYNGOX	Tags Present	Check Current Tags and Add if Incomplete																	food|drug|naturalproduct		blood|cerebrospinal fluid|feces|milk|saliva|sweat|urine	|food consumption|drug or medication use
42839	CCMSLIB00005778374	Ligustilide	IQVQXVFMNOFTMU	Tags Present	Check Current Tags and Add if Incomplete																	food|naturalproduct		blood	|food consumption
428855	CCMSLIB00003137348	Spectral Match to N-Oleoylethanolamine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
428858	CCMSLIB00003139950	Spectral Match to N-Oleoylethanolamine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
430188	CCMSLIB00005763436	Massbank:LU049103 Triphenyl phosphate	XZZNDPSIHUTMOC	Tags Present	Check Current Tags and Add if Incomplete																	environmental			products containing flame retardant
430189	CCMSLIB00005775347	Massbank:AU246406 Triphenylphosphate|triphenyl phosphate	XZZNDPSIHUTMOC	Tags Present	Check Current Tags and Add if Incomplete																	environmental			products containing flame retardant
431536	CCMSLIB00005724788	2,3-bis[(4-hydroxy-3-methoxyphenyl)methyl]butane-1,4-diol	PUETUDUXMCLALY	Tags Present	Check Current Tags and Add if Incomplete																	food|plant|drug|animal|naturalproduct_plant|naturalproduct	73337|Ceratotherium simum simum	urine|feces	mental depression|plant-based chemical exposure|food consumption|drug or medication use
434044	CCMSLIB00003136262	Spectral Match to Coproporphyrin I from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
434081	CCMSLIB00004693900	Boldine	LZJRNLRASBVRRX	Tags Present	Check Current Tags and Add if Incomplete																	food|human|naturalproduct	9606|Homo sapiens	blood|urine	|food consumption
436684	CCMSLIB00003137778	Spectral Match to Phe-Tyr from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
437285	CCMSLIB00005766409	Massbank:LU099853 Dicyclohexyl phthalate|dicyclohexyl benzene-1,2-dicarboxylate	VOWAEIGWURALJQ	Tags Missing	Add Tags																				
437286	CCMSLIB00005766409	Massbank:LU099853 Dicyclohexyl phthalate|dicyclohexyl benzene-1,2-dicarboxylate	VOWAEIGWURALJQ	Tags Missing	Add Tags																				
438432	CCMSLIB00005746967	Massbank:PR309108 FA 18:1+3O	MDIUMSLCYIJBQC	Tags Missing	Add Tags																				
438613	CCMSLIB00003134863	Spectral Match to cis-5,8,11-Eicosatrienoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
438622	CCMSLIB00003134780	Spectral Match to cis-4,7,10,13,16,19-Docosahexaenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
438628	CCMSLIB00003134863	Spectral Match to cis-5,8,11-Eicosatrienoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
438668	CCMSLIB00003134863	Spectral Match to cis-5,8,11-Eicosatrienoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
43975	CCMSLIB00003139804	Spectral Match to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
43977	CCMSLIB00003139354	Spectral Match to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
43985	CCMSLIB00003139354	Spectral Match to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
43986	CCMSLIB00003139354	Spectral Match to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
43990	CCMSLIB00003136196	Spectral Match to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
440323	CCMSLIB00004679239	Commendamide	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
44108	CCMSLIB00003136239	Spectral Match to L-Kynurenine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
44125	CCMSLIB00003137772	Spectral Match to L-Methionine, N-acetyl- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
44322	CCMSLIB00003139014	Spectral Match to (Z,E)-Tetradeca-9,12-dienol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
445399	CCMSLIB00003137311	Spectral Match to DL-Phenylalanine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
448806	CCMSLIB00003138728	Spectral Match to cis-7,10,13,16,19-Docosapentaenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
449893	CCMSLIB00003134661	Spectral Match to Thr-Val-Leu from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
454296	CCMSLIB00003139185	Spectral Match to .omega.-3 Arachidonic acid ethyl ester from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
457312	CCMSLIB00003134579	Spectral Match to Monolinolenin (9c,12c,15c) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
460532	CCMSLIB00003134579	Spectral Match to Monolinolenin (9c,12c,15c) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
460708	CCMSLIB00003140172	Spectral Match to Monolinolenin (9c,12c,15c) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
463723	CCMSLIB00004713145	(2S,3S,4S)-3,4-dihydroxy-6-methoxy-3-methyl-7-methylidene-2-pentyl-2,4-dihydropyrano[2,3-c]pyrrol-5-one	PQXBZFLVJGBOAD	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct|fungal|fungal_produced			
471623	CCMSLIB00003136708	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
472219	CCMSLIB00003134511	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
472221	CCMSLIB00003136708	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
472229	CCMSLIB00003136708	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
472250	CCMSLIB00003134511	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
472356	CCMSLIB00003134514	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
472362	CCMSLIB00003136708	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
472363	CCMSLIB00003136708	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
472374	CCMSLIB00003134514	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
472382	CCMSLIB00003134511	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
472383	CCMSLIB00003134514	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
472400	CCMSLIB00003136708	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
472424	CCMSLIB00003135618	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
472433	CCMSLIB00003134511	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
472555	CCMSLIB00003134514	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
472565	CCMSLIB00003136708	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
472615	CCMSLIB00003138796	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
472698	CCMSLIB00003134511	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
472744	CCMSLIB00003135618	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
473032	CCMSLIB00003134514	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
473033	CCMSLIB00003136708	Spectral Match to 13-Docosenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
